"name_pthw"	"eQTL_pthw"	"eQTL_total_tissue"	"eQTL_query"	"eQTL_pthw_query"	"log_ratio"	"pval_lr"	"pval_fisher"	"num_gene_set"	"num_gene_query"	"num_gene_hit"	"gene_hit"	"log_ratio_gene"	"pval_fisher_gene"
"BIOCARTA_RELA_PATHWAY"	15	19623	177	1	2.00025769295328	NA	0.127125108626997	16	177	1	"4792"	2.41996001022764	0.0853321398715012
"BIOCARTA_AMI_PATHWAY"	18	19623	177	1	1.81793613615933	NA	0.150551690733843	20	177	1	"51327"	2.19681645891343	0.1055084898589
"BIOCARTA_GRANULOCYTES_PATHWAY"	12	19623	177	1	2.22340124426749	NA	0.103056204541928	14	177	1	"3683"	2.55349140285216	0.0750749126473901
"BIOCARTA_LYM_PATHWAY"	9	19623	177	1	2.51108331671927	NA	0.0783274697544222	11	177	1	"3683"	2.79465345966905	0.0594742342044229
"BIOCARTA_AKT_PATHWAY"	21	19623	177	1	1.66378545633207	NA	0.173352997574237	22	177	1	"4792"	2.1015062791091	0.115430079902293
"BIOCARTA_ASBCELL_PATHWAY"	11	19623	177	1	2.31041262125712	NA	0.0948874856432359	12	177	1	"3565"	2.70764208267942	0.0647033163926942
"BIOCARTA_ATM_PATHWAY"	20	19623	177	1	1.7125756205015	NA	0.165821003369081	20	177	1	"4792"	2.19681645891343	0.1055084898589
"BIOCARTA_BLYMPHOCYTE_PATHWAY"	10	19623	177	1	2.40572280106145	NA	0.0866447960444939	11	177	1	"3683"	2.79465345966905	0.0594742342044229
"BIOCARTA_BIOPEPTIDES_PATHWAY"	38	19623	177	2	1.76386891488905	NA	0.0460120419664137	45	177	2	"6773;6776"	2.07903342325704	0.0260071289038334
"BIOCARTA_CDMAC_PATHWAY"	16	19623	177	1	1.93571917181571	NA	0.135004487236392	16	177	1	"4792"	2.41996001022764	0.0853321398715012
"BIOCARTA_CARM_ER_PATHWAY"	34	19623	177	1	1.18194736943933	NA	0.26532934056164	35	177	1	"10498"	1.637200670978	0.177305940908803
"BIOCARTA_CD40_PATHWAY"	14	19623	177	1	2.06925056444023	NA	0.119174364711135	15	177	1	"4792"	2.48449853136521	0.0802177436862938
"BIOCARTA_G2_PATHWAY"	23	19623	177	1	1.57281367812634	NA	0.188214707770424	24	177	1	"1032"	2.01449490211947	0.125242235770185
"BIOCARTA_LAIR_PATHWAY"	15	19623	177	1	2.00025769295328	NA	0.127125108626997	17	177	1	"3683"	2.3593353884112	0.0904182575317297
"BIOCARTA_TID_PATHWAY"	18	19623	177	1	1.81793613615933	NA	0.150551690733843	19	177	1	"4792"	2.24810975330098	0.100506278323879
"BIOCARTA_VDR_PATHWAY"	12	19623	177	1	2.22340124426749	NA	0.103056204541928	12	177	1	"10498"	2.70764208267942	0.0647033163926942
"BIOCARTA_CTL_PATHWAY"	13	19623	177	1	2.14335853659396	NA	0.111151612822794	15	177	1	"3683"	2.48449853136521	0.0802177436862938
"BIOCARTA_CELLCYCLE_PATHWAY"	23	19623	177	1	1.57281367812634	NA	0.188214707770424	23	177	1	"1032"	2.05705451653827	0.120349761783119
"BIOCARTA_CYTOKINE_PATHWAY"	13	19623	177	3	3.24197082526207	NA	0.000193076981161124	22	177	3	"3596;3565;4049"	3.20011856777721	0.000240475768155264
"BIOCARTA_INFLAM_PATHWAY"	22	19623	177	3	2.71587772936529	NA	0.000979379350515386	29	177	3	"3596;3565;4049"	2.92386519114905	0.000554503742202707
"BIOCARTA_DC_PATHWAY"	18	19623	177	3	2.91654842482744	NA	0.000532886374331005	22	177	3	"3596;3565;3687"	3.20011856777721	0.000240475768155264
"BIOCARTA_RNA_PATHWAY"	10	19623	177	1	2.40572280106145	NA	0.0866447960444939	10	177	1	"4792"	2.88996363947337	0.054216083208029
"BIOCARTA_MTA3_PATHWAY"	18	19623	177	1	1.81793613615933	NA	0.150551690733843	19	177	1	"226"	2.24810975330098	0.100506278323879
"BIOCARTA_EGF_PATHWAY"	30	19623	177	2	2.00025769295328	NA	0.029829852344049	31	177	2	"6773;6776"	2.45170870854222	0.0128491574376095
"BIOCARTA_EPO_PATHWAY"	19	19623	177	2	2.457016095449	NA	0.0125082164506513	19	177	2	"6776;2057"	2.94125693386092	0.00493578085146621
"BIOCARTA_EPONFKB_PATHWAY"	11	19623	177	2	3.00355980181707	NA	0.00421790005707476	11	177	2	"4792;2057"	3.48780064022899	0.00163457324409449
"BIOCARTA_FMLP_PATHWAY"	35	19623	177	1	1.15295983256608	NA	0.271967591963988	39	177	1	"4792"	1.52898708633777	0.195464220558479
"BIOCARTA_GATA3_PATHWAY"	15	19623	177	2	2.69340487351323	NA	0.00786394988907357	16	177	2	"3596;3565"	3.11310719078758	0.00350180090818074
"BIOCARTA_GH_PATHWAY"	28	19623	177	1	1.37610338388029	NA	0.224216831058565	28	177	1	"6776"	1.86034422229221	0.144543032950982
"BIOCARTA_AHSP_PATHWAY"	13	19623	177	1	2.14335853659396	NA	0.111151612822794	13	177	1	"51327"	2.62759937500588	0.0699034895668265
"BIOCARTA_HIVNEF_PATHWAY"	58	19623	177	1	0.647864883509074	NA	0.409215284269394	58	177	1	"4792"	1.132105721921	0.276419386793915
"BIOCARTA_IL2_PATHWAY"	21	19623	177	1	1.66378545633207	NA	0.173352997574237	22	177	1	"6776"	2.1015062791091	0.115430079902293
"BIOCARTA_IL3_PATHWAY"	13	19623	177	1	2.14335853659396	NA	0.111151612822794	15	177	1	"6776"	2.48449853136521	0.0802177436862938
"BIOCARTA_IL4_PATHWAY"	11	19623	177	1	2.31041262125712	NA	0.0948874856432359	11	177	1	"3565"	2.79465345966905	0.0594742342044229
"BIOCARTA_IL5_PATHWAY"	9	19623	177	1	2.51108331671927	NA	0.0783274697544222	10	177	1	"3565"	2.88996363947337	0.054216083208029
"BIOCARTA_IL6_PATHWAY"	22	19623	177	2	2.31041262125712	NA	0.0166012932575056	22	177	2	"7297;1051"	2.79465345966905	0.00659519510781395
"BIOCARTA_IL10_PATHWAY"	16	19623	177	2	2.62886635237566	NA	0.0089344294860684	17	177	2	"6773;6776"	3.05248256897115	0.0039542573078397
